Name,Website,Phone,Address,City,State,PostalCode,Rating,Reviews,Categories,Email,Source,Query,Apollo,Revenue,Employees,Keywords,LinkedIn,Facebook,Twitter,Hours,Description,SocialProfiles
"Metro Construction, Inc",http://www.mymetroconstruction.com,,,Metro Construction,Inc,,,,,,apollo,"painting company, painting services - Inc",https://app.apollo.io/#/organizations/54a12b1f69702decc5f50000?overrideScoreId=score,7.2M,63,general contracting+56,http://www.linkedin.com/company/metro-construction-inc,https://facebook.com/MetroConstruction,https://twitter.com/MyMetroCon,,,
Optiline Enterprises,http://www.optiline.com,,,Nashua,New Hampshire,,,,,,apollo,"painting company, painting services - New Hampshire",https://app.apollo.io/#/organizations/5b8631f3f874f72e47be89d6?overrideScoreId=score,,62,,http://www.linkedin.com/company/optiline-enterprises,,https://twitter.com/OptilineEnt,,,
Excel Roofing,http://www.excelroofing.com,,,Englewood,Colorado,,,,,,apollo,"painting company, painting services - Colorado",https://app.apollo.io/#/organizations/5a9e0d79a6da98d935698f66?overrideScoreId=score,26.9M,62,roofingwindows+87,http://www.linkedin.com/company/excel-roofing,https://www.facebook.com/ExcelRoofingInc,https://twitter.com/excelroofinginc,,,
"Mark Beamish Waterproofing, Inc.",http://www.markbeamish.com,,,Mark Beamish Waterproofing,Inc.,,,,,,apollo,"painting company, painting services - Inc.",https://app.apollo.io/#/organizations/54a25e7574686935beeba21d?overrideScoreId=score,13.0M,62,,http://www.linkedin.com/company/mark-beamish-waterproofing,https://facebook.com/markbeamishwaterproofing,https://twitter.com/mbw_1981,,,
"NJR CONSTRUCTION, LLC",http://www.njr-construction.com,,,Gastonia,North Carolina,,,,,,apollo,"painting company, painting services - North Carolina",https://app.apollo.io/#/organizations/5da470cce3ed0a00019a8047?overrideScoreId=score,,60,metal framing+59,http://www.linkedin.com/company/njr-construction-llc,https://www.facebook.com/profile.php,,,,
Dl Construction,http://www.dl-constructiongroup.com,,,Warren,Ohio,,,,,,apollo,"painting company, painting services - Ohio",https://app.apollo.io/#/organizations/65fbca7bcac7f800073a8655?overrideScoreId=score,,59,,http://www.linkedin.com/company/dl-construction,,,,,
Painter Ready Group,http://www.painter-ready.com,,,Nashville,Tennessee,,,,,,apollo,"painting company, painting services - Tennessee",https://app.apollo.io/#/organizations/54a1b75f746869401240a20a?overrideScoreId=score,,59,retail painting+50,http://www.linkedin.com/company/painter-ready-group,https://facebook.com/PainterReadyChattanooga,,,,
Brush Masters,http://www.brushmasters.com,,,Maple Grove,Minnesota,,,,,,apollo,"painting company, painting services - Minnesota",https://app.apollo.io/#/organizations/54a138d569702d2185990a00?overrideScoreId=score,3.4M,59,paintingdrywall+54,http://www.linkedin.com/company/brush-masters,https://www.facebook.com/BrushMasters,https://twitter.com/brushmasters,,,
Cobra Electric,http://www.cobraelectric.com,,,Baton Rouge,Louisiana,,,,,,apollo,"painting company, painting services - Louisiana",https://app.apollo.io/#/organizations/55ee7e31f3e5bb22c8001d09?overrideScoreId=score,12.4M,58,traffic sensors+46,http://www.linkedin.com/company/cobra-electric,,,,,
"Common Links Construction, LLC",http://www.clcbuild.com,,,Brookfield,Wisconsin,,,,,,apollo,"painting company, painting services - Wisconsin",https://app.apollo.io/#/organizations/54a1273f69702dc841641500?overrideScoreId=score,31.5M,58,,http://www.linkedin.com/company/common-links-construction-llc,,,,,
